iter	Passed	Remaining
0	2	240
1	3	159
2	4	153
3	5	132
4	6	127
5	8	129
6	9	128
7	11	129
8	12	124
9	13	122
10	14	120
11	16	119
12	17	118
13	18	113
14	19	110
15	20	108
16	21	104
17	22	103
18	23	102
19	24	99
20	26	97
21	26	95
22	27	92
23	28	90
24	29	88
25	30	85
26	30	83
27	31	81
28	32	79
29	33	77
30	34	75
31	34	74
32	35	72
33	36	70
34	37	68
35	37	66
36	38	65
37	39	63
38	39	62
39	40	60
40	40	58
41	41	56
42	41	55
43	42	54
44	43	52
45	43	51
46	44	50
47	45	49
48	45	47
49	46	46
50	47	45
51	47	44
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	58	27
68	59	26
69	60	25
70	60	24
71	61	23
72	62	23
73	62	22
74	63	21
75	64	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	14
82	69	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	72	9
89	73	8
90	74	7
91	75	6
92	75	5
93	76	4
94	77	4
95	77	3
96	78	2
97	79	1
98	79	0
99	80	0
