iter	Passed	Remaining
0	79	79907
1	82	41090
2	83	27873
3	85	21175
4	86	17211
5	87	14566
6	89	12677
7	90	11210
8	91	10049
9	92	9123
10	93	8378
11	94	7756
12	95	7212
13	95	6737
14	96	6332
15	97	5968
16	97	5644
17	98	5353
18	100	5171
19	101	4953
20	102	4763
21	102	4567
22	103	4386
23	103	4221
24	104	4067
25	104	3932
26	105	3813
27	106	3699
28	107	3592
29	107	3488
30	108	3387
31	108	3294
32	109	3206
33	110	3132
34	110	3057
35	111	2992
36	112	2930
37	113	2868
38	113	2806
39	114	2749
40	115	2692
41	115	2639
42	116	2586
43	116	2537
44	117	2496
45	118	2462
46	119	2424
47	120	2384
48	120	2344
49	121	2305
50	122	2283
51	123	2248
52	124	2222
53	125	2201
54	126	2171
55	127	2142
56	127	2112
57	128	2084
58	128	2057
59	129	2034
60	131	2017
61	131	1996
62	132	1975
63	133	1953
64	134	1931
65	134	1910
66	135	1893
67	137	1880
68	138	1863
69	138	1844
70	139	1825
71	140	1805
72	140	1786
73	141	1767
74	142	1753
75	143	1742
76	144	1728
77	144	1712
78	145	1696
79	146	1680
80	146	1664
81	147	1650
82	147	1634
83	149	1626
84	150	1614
85	150	1603
86	151	1589
87	152	1575
88	152	1562
89	153	1547
90	153	1535
91	154	1526
92	156	1527
93	157	1516
94	157	1504
95	158	1493
96	159	1482
97	160	1473
98	160	1464
99	161	1455
100	162	1447
101	163	1438
102	163	1428
103	164	1418
104	165	1407
105	167	1408
106	168	1402
107	168	1393
108	169	1384
109	170	1376
110	170	1366
111	171	1357
112	172	1351
113	173	1346
114	174	1340
115	174	1332
116	175	1325
117	176	1317
118	176	1309
119	177	1301
120	178	1294
121	179	1288
122	179	1282
123	180	1275
124	181	1268
125	181	1261
126	182	1254
127	183	1247
128	183	1240
129	184	1235
130	185	1231
131	186	1225
132	187	1219
133	187	1213
134	188	1206
135	188	1199
136	189	1193
137	190	1189
138	191	1185
139	192	1181
140	193	1176
141	193	1169
142	194	1163
143	194	1158
144	195	1153
145	196	1151
146	197	1148
147	198	1143
148	199	1137
149	199	1132
150	200	1127
151	201	1121
152	202	1118
153	203	1116
154	203	1111
155	204	1107
156	205	1103
157	206	1099
158	206	1094
159	207	1091
160	208	1086
161	209	1083
162	210	1079
163	210	1075
164	211	1070
165	212	1066
166	212	1061
167	213	1056
168	214	1053
169	215	1051
170	216	1048
171	216	1044
172	217	1040
173	218	1036
174	219	1034
175	220	1031
176	221	1027
177	221	1023
178	222	1019
179	222	1015
180	223	1011
181	224	1007
182	224	1004
183	226	1003
184	226	999
185	227	996
186	228	992
187	228	988
188	229	985
189	230	982
190	231	979
191	233	981
192	233	978
193	234	974
194	235	971
195	235	967
196	236	964
197	237	963
198	238	961
199	239	958
200	240	955
201	241	953
202	242	950
203	243	949
204	244	949
205	245	946
206	246	943
207	246	940
208	247	936
209	248	933
210	249	931
211	250	929
212	250	927
213	251	923
214	252	921
215	252	918
216	253	915
217	254	912
218	255	910
